año,decada,era,mes,id_tiempo
2008.0,2000.0,Moderna,8.0,148
2001.0,2000.0,Moderna,5.0,149
2013.0,2010.0,Contemporánea,3.0,150
2010.0,2010.0,Moderna,6.0,151
2015.0,2010.0,Contemporánea,1.0,152
2003.0,2000.0,Moderna,12.0,153
2001.0,2000.0,Moderna,2.0,154
1997.0,1990.0,Clásica,3.0,155
1995.0,1990.0,Clásica,1.0,156
1994.0,1990.0,Clásica,1.0,157
2013.0,2010.0,Contemporánea,8.0,158
1998.0,1990.0,Clásica,6.0,159
2008.0,2000.0,Moderna,12.0,160
1999.0,1990.0,Clásica,3.0,161
2004.0,2000.0,Moderna,2.0,162
2002.0,2000.0,Moderna,2.0,163
2018.0,2010.0,Contemporánea,11.0,164
2007.0,2000.0,Moderna,4.0,165
2018.0,2010.0,Contemporánea,8.0,166
2010.0,2010.0,Moderna,2.0,167
1988.0,1980.0,Retro,1.0,168
2003.0,2000.0,Moderna,7.0,169
2017.0,2010.0,Contemporánea,12.0,170
2001.0,2000.0,Moderna,3.0,171
2000.0,2000.0,Clásica,2.0,172
2015.0,2010.0,Contemporánea,3.0,173
1993.0,1990.0,Clásica,1.0,174
1982.0,1980.0,Retro,1.0,175
2010.0,2010.0,Moderna,4.0,176
2009.0,2000.0,Moderna,5.0,177
1989.0,1980.0,Retro,7.0,178
2008.0,2000.0,Moderna,7.0,179
2016.0,2010.0,Contemporánea,7.0,180
2007.0,2000.0,Moderna,6.0,181
1998.0,1990.0,Clásica,8.0,182
1995.0,1990.0,Clásica,2.0,183
1996.0,1990.0,Clásica,1.0,184
2018.0,2010.0,Contemporánea,6.0,185
1998.0,1990.0,Clásica,1.0,186
2011.0,2010.0,Contemporánea,6.0,187
2004.0,2000.0,Moderna,5.0,188
2000.0,2000.0,Clásica,6.0,189
2004.0,2000.0,Moderna,4.0,190
2012.0,2010.0,Contemporánea,5.0,191
2005.0,2000.0,Moderna,7.0,192
1994.0,1990.0,Clásica,10.0,194
2017.0,2010.0,Contemporánea,7.0,195
1999.0,1990.0,Clásica,7.0,196
2014.0,2010.0,Contemporánea,12.0,197
2011.0,2010.0,Contemporánea,3.0,198
2001.0,2000.0,Moderna,9.0,199
2005.0,2000.0,Moderna,1.0,200
2017.0,2010.0,Contemporánea,2.0,201
2004.0,2000.0,Moderna,12.0,202
2013.0,2010.0,Contemporánea,4.0,203
2017.0,2010.0,Contemporánea,5.0,204
2007.0,2000.0,Moderna,7.0,205
1993.0,1990.0,Clásica,12.0,206
2006.0,2000.0,Moderna,7.0,207
2012.0,2010.0,Contemporánea,6.0,208
1997.0,1990.0,Clásica,11.0,209
2006.0,2000.0,Moderna,8.0,210
2006.0,2000.0,Moderna,12.0,211
2005.0,2000.0,Moderna,9.0,212
2017.0,2010.0,Contemporánea,4.0,213
1983.0,1980.0,Retro,1.0,214
2012.0,2010.0,Contemporánea,2.0,215
2015.0,2010.0,Contemporánea,2.0,216
1983.0,1980.0,Retro,10.0,217
2000.0,2000.0,Clásica,5.0,218
2008.0,2000.0,Moderna,2.0,219
2011.0,2010.0,Contemporánea,5.0,220
1995.0,1990.0,Clásica,11.0,221
1995.0,1990.0,Clásica,10.0,222
1998.0,1990.0,Clásica,9.0,223
1990.0,1990.0,Retro,1.0,224
2014.0,2010.0,Contemporánea,1.0,225
2001.0,2000.0,Moderna,4.0,226
1986.0,1980.0,Retro,3.0,227
2014.0,2010.0,Contemporánea,2.0,228
2013.0,2010.0,Contemporánea,2.0,229
2006.0,2000.0,Moderna,3.0,230
2004.0,2000.0,Moderna,3.0,231
2016.0,2010.0,Contemporánea,6.0,232
1998.0,1990.0,Clásica,2.0,233
1997.0,1990.0,Clásica,6.0,234
1999.0,1990.0,Clásica,1.0,235
2002.0,2000.0,Moderna,7.0,236
1999.0,1990.0,Clásica,2.0,237
2004.0,2000.0,Moderna,1.0,238
1994.0,1990.0,Clásica,12.0,239
1992.0,1990.0,Clásica,2.0,240
1994.0,1990.0,Clásica,3.0,241
2005.0,2000.0,Moderna,12.0,242
2014.0,2010.0,Contemporánea,4.0,243
1986.0,1980.0,Retro,12.0,244
1997.0,1990.0,Clásica,7.0,245
1999.0,1990.0,Clásica,4.0,246
2005.0,2000.0,Moderna,3.0,247
1983.0,1980.0,Retro,9.0,248
2002.0,2000.0,Moderna,12.0,249
2003.0,2000.0,Moderna,6.0,250
2009.0,2000.0,Moderna,1.0,251
2016.0,2010.0,Contemporánea,12.0,252
2015.0,2010.0,Contemporánea,5.0,253
2003.0,2000.0,Moderna,2.0,254
1995.0,1990.0,Clásica,12.0,255
1998.0,1990.0,Clásica,12.0,256
1987.0,1980.0,Retro,12.0,257
2007.0,2000.0,Moderna,12.0,258
1988.0,1980.0,Retro,8.0,259
1977.0,1970.0,Retro,1.0,260
1997.0,1990.0,Clásica,8.0,261
1987.0,1980.0,Retro,5.0,262
2002.0,2000.0,Moderna,1.0,263
1993.0,1990.0,Clásica,11.0,264
1986.0,1980.0,Retro,7.0,265
1986.0,1980.0,Retro,1.0,266
2018.0,2010.0,Contemporánea,2.0,267
1991.0,1990.0,Clásica,1.0,268
1997.0,1990.0,Clásica,4.0,269
1997.0,1990.0,Clásica,2.0,270
2017.0,2010.0,Contemporánea,1.0,271
2000.0,2000.0,Clásica,7.0,272
2013.0,2010.0,Contemporánea,7.0,273
2008.0,2000.0,Moderna,5.0,274
2010.0,2010.0,Moderna,7.0,275
2012.0,2010.0,Contemporánea,7.0,276
2014.0,2010.0,Contemporánea,6.0,277
1995.0,1990.0,Clásica,5.0,278
1987.0,1980.0,Retro,9.0,279
2001.0,2000.0,Moderna,1.0,280
1989.0,1980.0,Retro,2.0,281
1988.0,1980.0,Retro,9.0,282
1996.0,1990.0,Clásica,3.0,283
1986.0,1980.0,Retro,10.0,284
1996.0,1990.0,Clásica,6.0,285
1997.0,1990.0,Clásica,12.0,286
1989.0,1980.0,Retro,1.0,287
2016.0,2010.0,Contemporánea,1.0,288
2000.0,2000.0,Clásica,4.0,289
1998.0,1990.0,Clásica,4.0,290
1986.0,1980.0,Retro,11.0,291
2011.0,2010.0,Contemporánea,7.0,292
1993.0,1990.0,Clásica,10.0,293
1996.0,1990.0,Clásica,12.0,294
1992.0,1990.0,Clásica,1.0,295
2018.0,2010.0,Contemporánea,1.0,296
1988.0,1980.0,Retro,11.0,297
2012.0,2010.0,Contemporánea,4.0,298
1986.0,1980.0,Retro,6.0,299
2000.0,2000.0,Clásica,12.0,300
2009.0,2000.0,Moderna,12.0,301
1994.0,1990.0,Clásica,2.0,302
2006.0,2000.0,Moderna,5.0,303
1990.0,1990.0,Retro,10.0,304
2007.0,2000.0,Moderna,1.0,305
1985.0,1980.0,Retro,10.0,306
2019.0,2010.0,Contemporánea,2.0,307
1994.0,1990.0,Clásica,11.0,308
1995.0,1990.0,Clásica,6.0,309
2020.0,2020.0,Contemporánea,12.0,310
1994.0,1990.0,Clásica,6.0,311
2009.0,2000.0,Moderna,4.0,312
1992.0,1990.0,Clásica,12.0,313
1984.0,1980.0,Retro,1.0,314
1982.0,1980.0,Retro,5.0,315
1980.0,1980.0,Retro,6.0,316
2013.0,2010.0,Contemporánea,5.0,317
1988.0,1980.0,Retro,12.0,318
2016.0,2010.0,Contemporánea,4.0,319
2006.0,2000.0,Moderna,1.0,320
2014.0,2010.0,Contemporánea,7.0,321
1992.0,1990.0,Clásica,7.0,322
1993.0,1990.0,Clásica,8.0,323
1984.0,1980.0,Retro,11.0,324
1992.0,1990.0,Clásica,9.0,325
2015.0,2010.0,Contemporánea,7.0,326
2006.0,2000.0,Moderna,4.0,327
1991.0,1990.0,Clásica,12.0,328
2011.0,2010.0,Contemporánea,12.0,329
1995.0,1990.0,Clásica,3.0,330
1996.0,1990.0,Clásica,2.0,331
1999.0,1990.0,Clásica,12.0,332
